,Country Name,Indicator Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
348575,Sweden,Access to electricity (% of population),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
348576,Sweden,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
348577,Sweden,"Access to electricity, urban (% of urban population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
348594,Sweden,Adjusted net national income (annual % growth),-0.403487428,-2.795658468,-4.270874341,6.285173059,6.11168166,0.789923981,2.392546844,4.381526548,4.654794739,3.623658977,0.457436153,1.149322599,3.917512642,2.66234741,3.195356345,6.302661581,4.580149046,-0.743226949,-6.600262753,6.596340413,2.319105062,-0.566479177,1.169358601,2.580715496,3.570239752,1.951752576,3.165813218,1.332265455,3.411292961,-3.576790563,,
348595,Sweden,Adjusted net national income (constant 2015 US$),2.58E+11,2.51E+11,2.40E+11,2.55E+11,2.71E+11,2.73E+11,2.79E+11,2.92E+11,3.05E+11,3.16E+11,3.18E+11,3.21E+11,3.34E+11,3.43E+11,3.54E+11,3.76E+11,3.93E+11,3.90E+11,3.65E+11,3.89E+11,3.98E+11,3.95E+11,4.00E+11,4.10E+11,4.25E+11,4.33E+11,4.47E+11,4.53E+11,4.68E+11,4.52E+11,,
348596,Sweden,Adjusted net national income (current US$),2.29E+11,2.33E+11,1.72E+11,1.89E+11,2.24E+11,2.44E+11,2.23E+11,2.26E+11,2.33E+11,2.22E+11,2.04E+11,2.24E+11,2.87E+11,3.26E+11,3.36E+11,3.67E+11,4.29E+11,4.51E+11,3.70E+11,4.24E+11,4.88E+11,4.71E+11,5.00E+11,4.95E+11,4.25E+11,4.33E+11,4.59E+11,4.71E+11,4.58E+11,4.61E+11,,
348597,Sweden,Adjusted net national income per capita (annual % growth),-1.080071637,-3.364122288,-4.825294557,5.532476425,5.556367635,0.629647331,2.333931399,4.323598228,4.573272008,3.457398308,0.18809925,0.820679253,3.531561405,2.259370405,2.783458214,5.706404713,3.807500658,-1.513466149,-7.392559639,5.691443075,1.549352256,-1.299337793,0.315723146,1.567922276,2.480801708,0.678789561,1.785034076,0.161954687,2.368285194,-4.271132829,,
348598,Sweden,Adjusted net national income per capita (constant 2015 US$),29928.10029,28921.2824,27525.74533,29048.60071,30662.64775,30855.7143,31575.8655,32941.07906,34447.56421,35638.55371,35705.58956,35998.61793,37269.93123,38111.99702,39172.82853,41408.18867,42984.80572,42334.24524,39204.66091,41435.97187,42077.96104,41531.22619,41662.34988,42315.58315,43365.34886,43659.70832,44439.04899,44511.02011,45565.16801,43619.01916,,
348599,Sweden,Adjusted net national income per capita (current US$),26549.86223,26857.82347,19728.41777,21542.26508,25324.20068,27552.56312,25230.91536,25546.41223,26248.87024,25023.01977,22913.76635,25126.85771,31994.05007,36301.66955,37182.08636,40447.91776,46861.44766,48899.08301,39740.06121,45163.4335,51687.14041,49435.56175,52094.11671,51086.3259,43365.34886,43644.71843,45603.21553,46249.28526,44513.96577,44552.07955,,
348600,Sweden,"Adjusted net savings, excluding particulate emission damage (% of GNI)",12.60379098,9.19558343,6.479684881,13.52765245,16.92655421,16.88653344,16.93113255,16.92747446,17.00143892,17.57084772,17.20631859,16.04455955,17.59219309,18.39494816,18.42234632,20.72583004,21.80059112,20.69884287,15.39429489,17.34114064,17.63682228,17.2176377,16.8706834,17.14605399,17.53591336,17.35930207,18.26596832,18.12029926,19.72481728,18.94243936,,
